x,y,frame
NA,NA,0
NA,NA,1
NA,NA,2
NA,NA,3
NA,NA,4
NA,NA,5
NA,NA,6
NA,NA,7
NA,NA,8
NA,NA,9
NA,NA,10
NA,NA,11
NA,NA,12
NA,NA,13
NA,NA,14
NA,NA,15
NA,NA,16
NA,NA,17
NA,NA,18
NA,NA,19
NA,NA,20
NA,NA,21
NA,NA,22
NA,NA,23
NA,NA,24
NA,NA,25
NA,NA,26
NA,NA,27
NA,NA,28
NA,NA,29
NA,NA,30
NA,NA,31
NA,NA,32
NA,NA,33
NA,NA,34
NA,NA,35
NA,NA,36
NA,NA,37
NA,NA,38
NA,NA,39
NA,NA,40
NA,NA,41
NA,NA,42
NA,NA,43
NA,NA,44
NA,NA,45
NA,NA,46
NA,NA,47
NA,NA,48
NA,NA,49
NA,NA,50
NA,NA,51
NA,NA,52
NA,NA,53
NA,NA,54
NA,NA,55
NA,NA,56
NA,NA,57
NA,NA,58
NA,NA,59
NA,NA,60
NA,NA,61
NA,NA,62
NA,NA,63
NA,NA,64
NA,NA,65
NA,NA,66
NA,NA,67
NA,NA,68
NA,NA,69
NA,NA,70
NA,NA,71
NA,NA,72
NA,NA,73
NA,NA,74
NA,NA,75
NA,NA,76
NA,NA,77
NA,NA,78
NA,NA,79
NA,NA,80
NA,NA,81
NA,NA,82
NA,NA,83
NA,NA,84
NA,NA,85
611,454,86
610,454,87
610,454,88
609,454,89
609,454,90
609,454,91
609,454,92
609,454,93
609,453,94
609,454,95
609,454,96
609,454,97
609,454,98
609,454,99
608,454,100
608,454,101
608,454,102
608,454,103
608,454,104
608,454,105
608,454,106
608,454,107
607,454,108
607,454,109
607,454,110
607,454,111
607,455,112
606,455,113
606,455,114
606,455,115
606,456,116
606,456,117
606,456,118
605,456,119
605,456,120
605,456,121
605,456,122
604,457,123
604,457,124
604,457,125
604,457,126
604,457,127
603,457,128
603,457,129
602,457,130
603,457,131
603,457,132
603,458,133
602,458,134
602,458,135
602,458,136
601,459,137
601,459,138
601,459,139
601,459,140
600,459,141
600,459,142
600,459,143
